0 0 0 ..IBBMCCIJLMHAAJL.H.DD..FFFK..GG.K.. 
1 1 0 ..IBBMCCIJLMHAAJL.H.DD..FFFK...GGK.. G99 
1 1 0 ..IBBMCCIJLMHAAJL.H...DDFFFK..GG.K.. D98 
1 1 0 ..IBBMCCIJLMHAAJL.H..DD.FFFK..GG.K.. D99 
1 1 0 ..IBBMCCIJLMHAAJL.HDD...FFFK..GG.K.. D99 
1 1 0 ..IBBMCCIJ.MHAAJ..H.DD..FFFKL.GG.KL. L97 
1 1 0 ..IBBMCCIJ.MHAAJ..H.DDL.FFFKL.GG.K.. L98 
1 1 0 ..IBBMCCIJ.MHAAJL.H.DDL.FFFK..GG.K.. L99 
1 1 0 ..IBB.CCIJL.HAAJL.H.DD..FFFK.MGG.K.M M96 
1 1 0 ..IBB.CCIJL.HAAJL.H.DD.MFFFK.MGG.K.. M97 
1 1 0 ..IBB.CCIJL.HAAJLMH.DD.MFFFK..GG.K.. M98 
1 1 0 ..IBB.CCIJLMHAAJLMH.DD..FFFK..GG.K.. M99 
2 2 0 ..I.BBCCIJLMHAAJLMH.DD..FFFK..GG.K.. B99 M99 
2 2 0 ..IBB.CCIJLMHAAJLMH.DD..FFFK...GGK.. G99 M99 
2 2 0 ..IBB.CCIJL.HAAJLMH.DD.MFFFK...GGK.. G99 M98 
2 2 0 ..IBB.CCIJL.HAAJL.H.DD.MFFFK.M.GGK.. G99 M97 
2 2 0 ..IBB.CCIJL.HAAJL.H.DD..FFFK.M.GGK.M G99 M96 
2 2 0 ..IBBMCCIJ.MHAAJL.H.DDL.FFFK...GGK.. G99 L99 
2 2 0 ..IBBMCCIJ.MHAAJ..H.DDL.FFFKL..GGK.. G99 L98 
2 2 0 ..IBBMCCIJ.MHAAJ..H.DD..FFFKL..GGKL. G99 L97 
2 2 0 ..IBBMCCIJLMHAAJL.HDD...FFFK...GGK.. D99 G99 
2 2 0 ..IBBMCCIJLMHAAJL.H..DD.FFFK...GGK.. D99 G99 
2 2 0 ..IBBMCCIJLMHAAJL.H...DDFFFK...GGK.. D98 G99 
2 2 0 ..IBB.CCIJLMHAAJLMH...DDFFFK..GG.K.. D98 M99 
2 2 0 ..IBBMCCI.LMHAAJL.H..JDDFFFK..GG.K.. D98 J99 
2 2 0 ..IBBMCCIJLMHAAJL.H..KDDFFFK..GG.... D98 K99 
2 2 0 ..IBB.CCIJLMHAAJLMH..DD.FFFK..GG.K.. D99 M99 
2 2 0 ..IBB.CCIJL.HAAJLMH..DDMFFFK..GG.K.. D99 M98 
2 2 0 ..IBB.CCIJL.HAAJL.H..DDMFFFK.MGG.K.. D99 M97 
2 2 0 ..IBB.CCIJL.HAAJL.H..DD.FFFK.MGG.K.M D99 M96 
2 2 0 ..IBB.CCIJLMHAAJLMHDD...FFFK..GG.K.. D99 M99 
2 2 0 ..IBB.CCIJL.HAAJLMHDD..MFFFK..GG.K.. D99 M98 
2 2 0 ..IBB.CCIJL.HAAJL.HDD..MFFFK.MGG.K.. D99 M97 
2 2 0 ..IBB.CCIJL.HAAJL.HDD...FFFK.MGG.K.M D99 M96 
2 2 0 ..IBBMCCI.LMHAAJL.HDDJ..FFFK..GG.K.. D99 J99 
2 2 0 ..IBBMCCIJ.MHAAJL.HDD.L.FFFK..GG.K.. D99 L99 
2 2 0 ..IBBMCCIJ.MHAAJ..HDD.L.FFFKL.GG.K.. D99 L98 
2 2 0 ..IBBMCCIJ.MHAAJ..HDD...FFFKL.GG.KL. D99 L97 
2 2 0 ..IBBMCCIJLMHAAJL.HDDK..FFFK..GG.... D99 K99 
2 2 0 ..IBB.CCIJ.MHAAJ.MH.DD..FFFKL.GG.KL. L97 M99 
2 2 0 ..IBB.CCIJ..HAAJ.MH.DD.MFFFKL.GG.KL. L97 M98 
2 2 0 ..IBB.CCIJ..HAAJ..H.DD.MFFFKLMGG.KL. L97 M97 
2 2 0 ..IBB.CCIJ..HAAJ..H.DD..FFFKLMGG.KLM L97 M96 
2 2 0 ..IBBMCCIJ.MHAAJ..H..DD.FFFKL.GG.KL. D99 L97 
2 2 0 ..IBBMCCIJ.MHAAJ..H...DDFFFKL.GG.KL. D98 L97 
2 2 0 ..IBB.CCIJ.MHAAJ.MH.DDL.FFFKL.GG.K.. L98 M99 
2 2 0 ..IBB.CCIJ..HAAJ.MH.DDLMFFFKL.GG.K.. L98 M98 
2 2 0 ..IBB.CCIJ..HAAJ..H.DDLMFFFKLMGG.K.. L98 M97 
2 2 0 ..IBB.CCIJ..HAAJ..H.DDL.FFFKLMGG.K.M L98 M96 
2 2 0 ..IBB.CCIJ.MHAAJLMH.DDL.FFFK..GG.K.. L99 M99 
2 2 0 ..IBB.CCIJ..HAAJLMH.DDLMFFFK..GG.K.. L99 M98 
2 2 0 ..IBB.CCIJ..HAAJL.H.DDLMFFFK.MGG.K.. L99 M97 
2 2 0 ..IBB.CCIJ..HAAJL.H.DDL.FFFK.MGG.K.M L99 M96 
2 2 0 ..I.BBCCIJL.HAAJL.H.DD..FFFK.MGG.K.M B99 M96 
2 2 0 ..IBB.CCIJL.HAAJL.H...DDFFFK.MGG.K.M D98 M96 
2 2 0 ..I.BBCCIJL.HAAJL.H.DD.MFFFK.MGG.K.. B99 M97 
2 2 0 ..I.BBCCIJL.HAAJLMH.DD.MFFFK..GG.K.. B99 M98 
4 4 0 ..IBB.CCI.L.HAAJL.HDDJ.MFFFK.M.GGK.. D99 G99 J99 M97 
4 4 0 ..IBB.CCIJL.HAAJL.HDDK.MFFFK.M.GG... D99 G99 K99 M97 
4 4 0 ..IJBBCCIJL.HAA.L.H.DD..FFFK.M.GGK.M B99 G99 J99 M96 
4 4 0 ..I.BBCCIJ..HAAJL.H.DDL.FFFK.M.GGK.M B99 G99 L99 M96 
4 4 0 ..I.BBCCIJ..HAAJ..H.DDL.FFFKLM.GGK.M B99 G99 L98 M96 
4 4 0 ..I.BBCCIJ..HAAJ..H.DD..FFFKLM.GGKLM B99 G99 L97 M96 
4 4 0 ..I.BBCCIJL.HAAJL.HDD...FFFK.M.GGK.M B99 D99 G99 M96 
4 4 0 ..I.BBCCIJL.HAAJL.H..DD.FFFK.M.GGK.M B99 D99 G99 M96 
4 4 0 ..I.BBCCIJL.HAAJL.H...DDFFFK.M.GGK.M B99 D98 G99 M96 
4 4 0 ..IBB.CCIJ..HAAJL.HDD.L.FFFK.M.GGK.M D99 G99 L99 M96 
4 4 0 ..IBB.CCIJ..HAAJ..HDD.L.FFFKLM.GGK.M D99 G99 L98 M96 
4 4 0 ..IBB.CCIJ..HAAJ..HDD...FFFKLM.GGKLM D99 G99 L97 M96 
4 4 0 ..IBB.CCIJ..HAAJ..H..DD.FFFKLM.GGKLM D99 G99 L97 M96 
4 4 0 ..IBB.CCIJ..HAAJ..H...DDFFFKLM.GGKLM D98 G99 L97 M96 
4 4 0 ..IBB.CCI.L.HAAJL.HDDJ..FFFK.M.GGK.M D99 G99 J99 M96 
4 4 0 ..IBB.CCIJL.HAAJL.HDDK..FFFK.M.GG..M D99 G99 K99 M96 
4 4 0 ..IBB.CCI.L.HAAJL.H..JDDFFFK.M.GGK.M D98 G99 J99 M96 
4 4 0 ..IBB.CCIJL.HAAJL.H..KDDFFFK.M.GG..M D98 G99 K99 M96 
4 4 0 ..IBBMCCI..MHAAJL.HDDJL.FFFK...GGK.. D99 G99 J99 L99 
4 4 0 ..IBBMCCIJ.MHAAJL.HDDKL.FFFK...GG... D99 G99 K99 L99 
4 4 0 ..IBBMCCI..MHAAJ..HDDJL.FFFKL..GGK.. D99 G99 J99 L98 
4 4 0 ..IBBMCCIJ.MHAAJ..HDDKL.FFFKL..GG... D99 G99 K99 L98 
4 4 0 ..IBBMCCI..MHAAJ..HDDJ..FFFKL..GGKL. D99 G99 J99 L97 
4 4 0 ..IBBMCCIJ.MHAAJ..HDDK..FFFKL..GG.L. D99 G99 K99 L97 
4 4 0 ..IBBMCCI..MHAAJ..H..JDDFFFKL..GGKL. D98 G99 J99 L97 
4 4 0 ..IBBMCCIJ.MHAAJ..H..KDDFFFKL..GG.L. D98 G99 K99 L97 
4 4 0 ..IBB.CCIJLMHAAJLMH..KDDFFFK....GG.. D98 G98 K99 M99 
4 4 0 ..IBB.CCIJLMHAAJLMH..KDDFFFK.....GG. D98 G97 K99 M99 
4 4 0 ..IBB.CCIJLMHAAJLMH..KDDFFFK......GG D98 G96 K99 M99 
4 4 0 ..IBBMCCIJLMHAAJL.H...DDFFFK.....KGG D98 G96 K98 
4 4 0 ..IJBBCCIJL.HAA.L.H..DDMFFFK.MGG.K.. B99 D99 J99 M97 
4 4 0 ..IJBBCCIJL.HAA.L.H..DD.FFFK.MGG.K.M B99 D99 J99 M96 
4 4 0 ..IBB.CCI..MHAAJLMHDDJL.FFFK..GG.K.. D99 J99 L99 M99 
4 4 0 ..IBB.CCI..MHAAJ.MHDDJL.FFFKL.GG.K.. D99 J99 L98 M99 
4 4 0 ..IBB.CCI..MHAAJ.MHDDJ..FFFKL.GG.KL. D99 J99 L97 M99 
4 4 0 ..IBB.CCIJ.MHAAJLMHDDKL.FFFK..GG.... D99 K99 L99 M99 
4 4 0 ..IBB.CCIJ.MHAAJ.MHDDKL.FFFKL.GG.... D99 K99 L98 M99 
4 4 0 ..IBB.CCIJ.MHAAJ.MHDDK..FFFKL.GG..L. D99 K99 L97 M99 
4 4 0 ..IBB.CCIJLMHAAJLMHDDK..FFFK....GG.. D99 G98 K99 M99 
4 4 0 ..IBB.CCIJLMHAAJLMHDDK..FFFK.....GG. D99 G97 K99 M99 
4 4 0 ..IBB.CCIJLMHAAJLMHDDK..FFFK......GG D99 G96 K99 M99 
4 4 0 ..I.BBCCI.L.HAAJLMHDDJ.MFFFK..GG.K.. B99 D99 J99 M98 
4 4 0 ..I.BBCCIJ..HAAJLMHDD.LMFFFK..GG.K.. B99 D99 L99 M98 
4 4 0 ..I.BBCCIJ..HAAJ.MHDD.LMFFFKL.GG.K.. B99 D99 L98 M98 
4 4 0 ..I.BBCCIJ..HAAJ.MHDD..MFFFKL.GG.KL. B99 D99 L97 M98 
4 4 0 ..I.BBCCIJL.HAAJLMHDDK.MFFFK..GG.... B99 D99 K99 M98 
4 4 0 ..IBB.CCI...HAAJLMHDDJLMFFFK..GG.K.. D99 J99 L99 M98 
4 4 0 ..IBB.CCI...HAAJ.MHDDJLMFFFKL.GG.K.. D99 J99 L98 M98 
4 4 0 ..IBB.CCI...HAAJ.MHDDJ.MFFFKL.GG.KL. D99 J99 L97 M98 
4 4 0 ..IBB.CCIJ..HAAJLMHDDKLMFFFK..GG.... D99 K99 L99 M98 
4 4 0 ..IBB.CCIJ..HAAJ.MHDDKLMFFFKL.GG.... D99 K99 L98 M98 
4 4 0 ..IBB.CCIJ..HAAJ.MHDDK.MFFFKL.GG..L. D99 K99 L97 M98 
4 4 0 ..IBB.CCIJL.HAAJLMHDDK.MFFFK....GG.. D99 G98 K99 M98 
4 4 0 ..IBB.CCIJL.HAAJLMHDDK.MFFFK.....GG. D99 G97 K99 M98 
4 4 0 ..IBB.CCIJL.HAAJLMHDDK.MFFFK......GG D99 G96 K99 M98 
4 4 0 ..IJBBCCIJL.HAA.L.HDD..MFFFK.MGG.K.. B99 D99 J99 M97 
4 4 0 ..I.BBCCI.L.HAAJL.HDDJ.MFFFK.MGG.K.. B99 D99 J99 M97 
4 4 0 ..I.BBCCIJ..HAAJL.HDD.LMFFFK.MGG.K.. B99 D99 L99 M97 
4 4 0 ..I.BBCCIJ..HAAJ..HDD.LMFFFKLMGG.K.. B99 D99 L98 M97 
4 4 0 ..I.BBCCIJ..HAAJ..HDD..MFFFKLMGG.KL. B99 D99 L97 M97 
4 4 0 ..I.BBCCIJL.HAAJL.HDDK.MFFFK.MGG.... B99 D99 K99 M97 
4 4 0 ..IBB.CCI...HAAJL.HDDJLMFFFK.MGG.K.. D99 J99 L99 M97 
4 4 0 ..IBB.CCI...HAAJ..HDDJLMFFFKLMGG.K.. D99 J99 L98 M97 
4 4 0 ..IBB.CCI...HAAJ..HDDJ.MFFFKLMGG.KL. D99 J99 L97 M97 
4 4 0 ..IBB.CCIJ..HAAJL.HDDKLMFFFK.MGG.... D99 K99 L99 M97 
4 4 0 ..IBB.CCIJ..HAAJ..HDDKLMFFFKLMGG.... D99 K99 L98 M97 
4 4 0 ..IBB.CCIJ..HAAJ..HDDK.MFFFKLMGG..L. D99 K99 L97 M97 
4 4 0 ..IBB.CCIJL.HAAJL.HDDK.MFFFK.M..GG.. D99 G98 K99 M97 
4 4 0 ..IBB.CCIJL.HAAJL.HDDK.MFFFK.M...GG. D99 G97 K99 M97 
4 4 0 ..IBB.CCIJL.HAAJL.HDDK.MFFFK.M....GG D99 G96 K99 M97 
4 4 0 ..IJBBCCIJL.HAA.L.HDD...FFFK.MGG.K.M B99 D99 J99 M96 
4 4 0 ..I.BBCCI.L.HAAJL.HDDJ..FFFK.MGG.K.M B99 D99 J99 M96 
4 4 0 ..I.BBCCIJ..HAAJL.HDD.L.FFFK.MGG.K.M B99 D99 L99 M96 
4 4 0 ..I.BBCCIJ..HAAJ..HDD.L.FFFKLMGG.K.M B99 D99 L98 M96 
4 4 0 ..I.BBCCIJ..HAAJ..HDD...FFFKLMGG.KLM B99 D99 L97 M96 
4 4 0 ..I.BBCCIJL.HAAJL.HDDK..FFFK.MGG...M B99 D99 K99 M96 
4 4 0 ..IBB.CCI...HAAJL.HDDJL.FFFK.MGG.K.M D99 J99 L99 M96 
4 4 0 ..IBB.CCI...HAAJ..HDDJL.FFFKLMGG.K.M D99 J99 L98 M96 
4 4 0 ..IBB.CCI...HAAJ..HDDJ..FFFKLMGG.KLM D99 J99 L97 M96 
4 4 0 ..IBB.CCIJ..HAAJL.HDDKL.FFFK.MGG...M D99 K99 L99 M96 
4 4 0 ..IBB.CCIJ..HAAJ..HDDKL.FFFKLMGG...M D99 K99 L98 M96 
4 4 0 ..IBB.CCIJ..HAAJ..HDDK..FFFKLMGG..LM D99 K99 L97 M96 
4 4 0 ..IBB.CCIJL.HAAJL.HDDK..FFFK.M..GG.M D99 G98 K99 M96 
4 4 0 ..IBB.CCIJL.HAAJL.HDDK..FFFK.M...GGM D99 G97 K99 M96 
4 4 0 ..IBBMCCIJ.MHAAJL.HDDKL.FFFK....GG.. D99 G98 K99 L99 
4 4 0 ..IBBMCCIJ.MHAAJL.HDDKL.FFFK.....GG. D99 G97 K99 L99 
4 4 0 ..IBBMCCIJ.MHAAJL.HDDKL.FFFK......GG D99 G96 K99 L99 
4 4 0 ..IBBMCCIJ.MHAAJ..HDDKL.FFFKL...GG.. D99 G98 K99 L98 
4 4 0 ..IBBMCCIJ.MHAAJ..HDDKL.FFFKL....GG. D99 G97 K99 L98 
4 4 0 ..IBBMCCIJ.MHAAJ..HDDKL.FFFKL.....GG D99 G96 K99 L98 
4 4 0 ..IBBMCCIJ.MHAAJ..HDDK..FFFKL...GGL. D99 G98 K99 L97 
4 4 0 ..IBBMCCIJLMHAAJL.HDD...FFFK.....KGG D99 G96 K98 
4 4 0 ..IBB.CCI..MHAAJ.MH..JDDFFFKL.GG.KL. D98 J99 L97 M99 
4 4 0 ..IBB.CCIJ.MHAAJ.MH..KDDFFFKL.GG..L. D98 K99 L97 M99 
4 4 0 ..I.BBCCIJ..HAAJ.MH..DDMFFFKL.GG.KL. B99 D99 L97 M98 
