10 0 10 .....L..ICCLG.IAAMG.JDDMH.JKEEHFFK.. 
8 0 8 ..I..L..ICCLG..AAMG.JDDMH.JKEEHFFK.. I99 
7 0 7 G.I..LG.ICCL...AAM..JDDMH.JKEEHFFK.. G98 I99 
6 0 6 G.I..LG.ICCL...AAMH.JDDMH.JKEE.FFK.. G98 H99 I99 
6 0 6 G.I..LG.ICCL...AAMH.JDDMH.JKEEFF.K.. F99 G98 H99 I99 
6 0 6 G.I..LG.ICCL...AAMH..DDMH.JKEEFFJK.. F99 G98 H99 I99 J99 
6 0 6 G.I..LG.ICCL...AAMHDD..MH.JKEEFFJK.. D98 F99 G98 H99 I99 J99 
6 0 6 ..I..LG.ICCLG..AAMH.JDDMH.JKEE.FFK.. G97 H99 I99 
7 0 7 G.I..LG.ICCL...AAMHDDK.MH.JKEEFFJ... D98 F99 G98 H99 I99 J99 K99 
7 0 7 G.I..LG.ICCLH..AAMHDD..M..JKEEFFJK.. D98 F99 G98 H98 I99 J99 
7 0 7 G.I..LG.ICCL.AA..MHDD..MH.JKEEFFJK.. A98 D98 F99 G98 H99 I99 J99 
7 0 7 G.I..LG.ICCL.AAK.MHDDK.MH.J.EEFFJ... A98 D98 F99 G98 H99 I99 J99 K98 
7 0 7 G.I..LG.ICCL.AAK.MHDDK.MH.JEE.FFJ... A98 D98 E99 F99 G98 H99 I99 J99 K98 
7 0 7 G.I..LG.ICCL.AAK..HDDK..H.JEEMFFJ..M A98 D98 E99 F99 G98 H99 I99 J99 K98 M98 
7 0 7 G.I...G.ICC..AAK.LHDDK.LH.JEEMFFJ..M A98 D98 E99 F99 G98 H99 I99 J99 K98 L98 M98 
6 0 6 ..I..LG.ICCLGAAK.M.DDK.MH.J.EEH.J.FF A96 C98 D92 E98 F91 G97 H98 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AAK.MDDJK.MH.J.EEH..FF. A96 C98 D91 E98 F90 G98 H98 I99 J94 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AA..MDD.K.MH.JKEEH.JFF. A96 C98 D91 E98 F90 G98 H98 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLGAAK.MDD.K.MH.J.EEH.JFF. A96 C98 D91 E98 F90 G97 H98 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AAK..HDDK.MH.JEEM..JFF. A96 C98 D92 E97 F90 G98 H97 I99 J95 K94 L96 M95 
6 0 6 ..I..LG.ICCLGAAK...DDK.MH.JEEMH.JFF. A96 C98 D92 E97 F90 G97 H98 I99 J95 K94 L96 M95 
6 0 6 G.I..LG.ICCLAA.K..HDDK.MH.JEEM..J.FF A95 C98 D92 E97 F89 G98 H97 I99 J95 K94 L96 M95 
6 0 6 G....LG.ICCLAAIK...DDK.MH.JEEMH.J.FF A95 C98 D92 E97 F89 G98 H98 I98 J95 K94 L96 M95 
6 0 6 G.I...G.ICCLAA.K.LDD.K.MH.JEEMH.J.FF A95 C98 D91 E97 F87 G98 H98 I99 J95 K94 L95 M95 
6 0 6 G.I...G.ICCLAA.K.LDD.K..H.JEEMH.JFFM A95 C98 D91 E97 F88 G98 H98 I99 J95 K94 L95 M94 
6 0 6 G.I...G.ICC.AA.K.LDD.K.LH.JEEMH.JFFM A95 C98 D91 E97 F88 G98 H98 I99 J95 K94 L94 M94 
6 0 6 G.I...G.ICC.AA.K.L.DDK.LH.JEEMH.JFFM A95 C98 D90 E97 F88 G98 H98 I99 J95 K94 L94 M94 
6 0 6 G.I...G.ICCLAA.K.LDDJK.MH.JEEMH..FF. A95 C98 D91 E97 F88 G98 H98 I99 J94 K94 L95 M95 
6 0 6 G.....G.ICCLAAIK.LDD.K.MH.JEEMH.JFF. A95 C98 D91 E97 F88 G98 H98 I98 J95 K94 L95 M95 
6 0 6 G.I..LG.ICCLAA.K...DDK..H.JEEMH.JFFM A95 C98 D90 E97 F88 G98 H98 I99 J95 K94 L94 M94 
6 0 6 G.I..LG.ICCLAA.K..HDDK.MH.JEEM..JFF. A95 C98 D90 E97 F88 G98 H97 I99 J95 K94 L94 M95 
6 0 6 G....LG.ICCLAAIK...DDK.MH.JEEMH.JFF. A95 C98 D90 E97 F88 G98 H98 I98 J95 K94 L94 M95 
6 0 6 G.I...G.ICCLAA.K.L.DDK.MH.JEEMH.J.FF A95 C98 D90 E97 F87 G98 H98 I99 J95 K94 L95 M95 
6 0 6 G.I...G.ICCLAA.K.L.DDK..H.JEEMH.JFFM A95 C98 D90 E97 F88 G98 H98 I99 J95 K94 L95 M94 
6 0 6 G.I...G.ICCLAA.K.LHDDK.MH.JEEM..JFF. A95 C98 D90 E97 F88 G98 H97 I99 J95 K94 L95 M95 
6 0 6 G.....G.ICCLAAIK.L.DDK.MH.JEEMH.JFF. A95 C98 D90 E97 F88 G98 H98 I98 J95 K94 L95 M95 
6 0 6 G.I...G.ICCL.AAK.L.DDK..H.JEEMH.JFFM A96 C98 D90 E97 F88 G98 H98 I99 J95 K94 L95 M94 
6 0 6 G.I...G.ICCL.AAK.LHDDK.MH.JEEM..JFF. A96 C98 D90 E97 F88 G98 H97 I99 J95 K94 L95 M95 
6 0 6 ..I...G.ICCLGAAK.L.DDK.MH.JEEMH.JFF. A96 C98 D90 E97 F88 G97 H98 I99 J95 K94 L95 M95 
6 0 6 G.I...G.ICCL.AAK.LDD.K..H.JEEMH.JFFM A96 C98 D91 E97 F88 G98 H98 I99 J95 K94 L95 M94 
6 0 6 G.I...G.ICCL.AAK.LDDJK..H.JEEMH..FFM A96 C98 D91 E97 F88 G98 H98 I99 J94 K94 L95 M94 
6 0 6 G.I...G.ICCL.AAK.LDDJK.MH.JEEMH..FF. A96 C98 D91 E97 F88 G98 H98 I99 J94 K94 L95 M95 
6 0 6 ..I...G.ICCLGAAK.LDD.K.MH.JEEMH.JFF. A96 C98 D91 E97 F88 G97 H98 I99 J95 K94 L95 M95 
6 0 6 G.I..LG.ICCL.AAK..DD.K..H.JEEMH.JFFM A96 C98 D91 E97 F88 G98 H98 I99 J95 K94 L96 M94 
6 0 6 G.I..LG.ICCL.AAK..DDJK.MH.JEEMH..FF. A96 C98 D91 E97 F88 G98 H98 I99 J94 K94 L96 M95 
6 0 6 ..I..LG.ICCLGAAK..DD.K.MH.JEEMH.JFF. A96 C98 D91 E97 F88 G97 H98 I99 J95 K94 L96 M95 
6 0 6 G.I..LG.ICCL.AAK..DDJK.MH.JEEMH...FF A96 C98 D91 E97 F89 G98 H98 I99 J94 K94 L96 M95 
6 0 6 G.I...G.ICCL.AAK.LDD.K.MH.JEEMH.J.FF A96 C98 D91 E97 F89 G98 H98 I99 J95 K94 L95 M95 
6 0 6 ..I..LG.ICCLGAAK..DD.K.MH.JEEMH.J.FF A96 C98 D91 E97 F89 G97 H98 I99 J95 K94 L96 M95 
6 0 6 G.I..LG.ICCL.AAK..HDDK.MH.JEEM..J.FF A96 C98 D92 E97 F89 G98 H97 I99 J95 K94 L96 M95 
6 0 6 G.I...G.ICCL.AAK.L.DDK.MH.JEEMH.J.FF A96 C98 D92 E97 F89 G98 H98 I99 J95 K94 L95 M95 
6 0 6 ..I..LG.ICCLGAAK...DDK.MH.JEEMH.J.FF A96 C98 D92 E97 F89 G97 H98 I99 J95 K94 L96 M95 
6 0 6 G.I..LG.ICCL.AAK.MHDDK.MH.JEE...J.FF A96 C98 D92 E97 F89 G98 H97 I99 J95 K94 L96 M96 
6 0 6 ..I..LG.ICCLGAAK.M.DDK.MH.JEE.H.J.FF A96 C98 D92 E97 F89 G97 H98 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AAK.MHDDK.MH.JEE...JFF. A96 C98 D92 E97 F90 G98 H97 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AAK...DDK..H.JEEMH.JFFM A96 C98 D92 E97 F90 G98 H98 I99 J95 K94 L96 M94 
6 0 6 ..I..LG.ICCLGAAK.M.DDK.MH.JEE.H.JFF. A96 C98 D92 E97 F90 G97 H98 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AAK.MHDDK.MH.J.EE..JFF. A96 C98 D92 E98 F90 G98 H97 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AA..M.DDK.MH.JKEEH.JFF. A96 C98 D92 E98 F90 G98 H98 I99 J95 K93 L96 M96 
6 0 6 ..I..LG.ICCLGAAK.M.DDK.MH.J.EEH.JFF. A96 C98 D92 E98 F90 G97 H98 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K.MHDDK.MH.J.EE..JFF. A97 C98 D92 E98 F90 G98 H97 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA...M.DDK.MH.JKEEH.JFF. A97 C98 D92 E98 F90 G98 H98 I99 J95 K93 L96 M96 
6 0 6 G....LG.ICCLAAIK.M.DDK.MH.J.EEH.JFF. A97 C98 D92 E98 F90 G98 H98 I98 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K.MHDDK.MH.J.EE..J.FF A97 C98 D92 E98 F91 G98 H97 I99 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA...M.DDK.MH.JKEEH.J.FF A97 C98 D92 E98 F91 G98 H98 I99 J95 K93 L96 M96 
6 0 6 G....LG.ICCLAAIK.M.DDK.MH.J.EEH.J.FF A97 C98 D92 E98 F91 G98 H98 I98 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K.MDDJK.MH.J.EEH...FF A97 C98 D93 E98 F91 G98 H98 I99 J94 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K.MDDJK.MH.J.EEHFF... A97 C98 D93 E98 F88 G98 H98 I99 J94 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K.MDDJK.MH.J.EEH.FF.. A97 C98 D93 E98 F89 G98 H98 I99 J94 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA...MDD.K.MH.JKEEH.J.FF A97 C98 D93 E98 F91 G98 H98 I99 J95 K93 L96 M96 
6 0 6 G....LG.ICCLAAIK.MDD.K.MH.J.EEH.J.FF A97 C98 D93 E98 F91 G98 H98 I98 J95 K94 L96 M96 
6 0 6 G....LG.ICCLAAIK.MDD.K.MH.JEE.H.J.FF A97 C98 D93 E99 F91 G98 H98 I98 J95 K94 L96 M96 
6 0 6 G....LG.ICCLAAIK.MDD.K.MH.JEE.H.JFF. A97 C98 D93 E99 F92 G98 H98 I98 J95 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K.MDDJK.MH.JEE.H...FF A97 C98 D93 E99 F91 G98 H98 I99 J96 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K.MDDJK.MH.JEE.HFF... A97 C98 D93 E99 F90 G98 H98 I99 J96 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K.MDDJK.MH.J.EEH..FF. A97 C98 D93 E98 F92 G98 H98 I99 J96 K94 L96 M96 
6 0 6 G.I..LG.ICCL.AAK.MDDJK.MH.JEE.H..FF. A96 C98 D93 E99 F92 G98 H98 I99 J96 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K..DDJK.MH.JEEMH..FF. A97 C98 D93 E99 F92 G98 H98 I99 J96 K94 L96 M97 
6 0 6 G.I..LG.ICCLAA.K..DD.K..H.JEEMH.JFFM A97 C98 D93 E99 F92 G98 H98 I99 J95 K94 L96 M98 
6 0 6 G.I..LG.ICCL.AAK..DDJK..H.JEEMH..FFM A96 C98 D93 E99 F92 G98 H98 I99 J96 K94 L96 M98 
6 0 6 G.I...G.ICCLAA.K.LDDJK..H.JEEMH..FFM A97 C98 D93 E99 F92 G98 H98 I99 J96 K94 L95 M98 
6 0 6 G.I..LG.ICCLAA.K.MDDJK.MH.JEE.H.FF.. A97 C98 D93 E99 F93 G98 H98 I99 J96 K94 L96 M96 
6 0 6 G.I..LG.ICCLAA.K..DDJK.MH.JEEMH.FF.. A97 C98 D93 E99 F93 G98 H98 I99 J96 K94 L96 M97 
6 0 6 G.I...G.ICCLAA.K.LDDJK..H.JEEMH.FF.M A97 C98 D93 E99 F93 G98 H98 I99 J96 K94 L97 M98 
6 0 6 G.I..LG.ICCLAA.K..DDJK..H.JEEMHFF..M A97 C98 D93 E99 F94 G98 H98 I99 J96 K94 L96 M98 
6 0 6 G.I...G.ICCLAA.K.LDDJK..H.JEEMHFF..M A97 C98 D93 E99 F94 G98 H98 I99 J96 K94 L97 M98 
6 0 6 G.I...G.I.CCAA.K.LDDJK.LH.JEEMH.FF.M A97 C99 D93 E99 F95 G98 H98 I99 J96 K94 L98 M98 
6 0 6 G.I...G.ICC.AA.K.LDDJK.LH.JEEMH..FFM A97 C98 D93 E99 F96 G98 H98 I99 J96 K94 L98 M98 
6 0 6 G.I...G.ICC..AAK.LDDJK.LH.JEEMH..FFM A98 C98 D93 E99 F96 G98 H98 I99 J96 K94 L98 M98 
6 0 6 G.I...G.I.CCAA.K.LDD.K.LH.JEEMH.JFFM A97 C99 D93 E99 F96 G98 H98 I99 J97 K94 L98 M98 
6 0 6 G.I...G.ICC..AAK.LDD.K.LH.JEEMH.JFFM A98 C98 D93 E99 F96 G98 H98 I99 J97 K94 L98 M98 
6 0 6 G.I...G.I.CCAA.K.L.DDK.LH.JEEMH.JFFM A97 C99 D94 E99 F96 G98 H98 I99 J97 K94 L98 M98 
6 0 6 G.I...G.ICC..AAK.L.DDK.LH.JEEMH.JFFM A98 C98 D94 E99 F96 G98 H98 I99 J97 K94 L98 M98 
7 0 7 ..I...G.ICC.GAAK.L.DDK.LH.JEEMH.JFFM A98 C98 D94 E99 F96 G97 H98 I99 J97 K94 L98 M98 
7 0 7 G.....G.I.CCAAIK.L.DDK.LH.JEEMH.JFFM A97 C99 D94 E99 F96 G98 H98 I98 J97 K94 L98 M98 
7 0 7 ..I...G.ICC.GAAK.LDD.K.LH.JEEMH.JFFM A98 C98 D93 E99 F96 G97 H98 I99 J97 K94 L98 M98 
7 0 7 G.....G.I.CCAAIK.LDD.K.LH.JEEMH.JFFM A97 C99 D93 E99 F96 G98 H98 I98 J97 K94 L98 M98 
7 0 7 ..I...G.ICC.GAAK.LDDJK.LH.JEEMH..FFM A98 C98 D93 E99 F96 G97 H98 I99 J96 K94 L98 M98 
7 0 7 G.....G.ICC.AAIK.LDDJK.LH.JEEMH..FFM A97 C98 D93 E99 F96 G98 H98 I98 J96 K94 L98 M98 
7 0 7 G.I...G.I.CCAAJK.LDDJK.LH..EEMH.FF.M A97 C99 D93 E99 F95 G98 H98 I99 J95 K94 L98 M98 
7 0 7 G.IK..G.IKCCAA...LDDJ..LH.JEEMH.FF.M A97 C99 D93 E99 F95 G98 H98 I99 J96 K92 L98 M98 
7 0 7 G.IK..G.IKCC...AALDDJ..LH.JEEMH.FF.M A94 C99 D93 E99 F95 G98 H98 I99 J96 K92 L98 M98 
7 0 7 G.IK..G.IKCC...AALDDJ..LH.JEEMH..FFM A94 C99 D93 E99 F94 G98 H98 I99 J96 K92 L98 M98 
7 0 7 ..IK..G.IKCCG..AALDDJ..LH.JEEMH..FFM A94 C99 D93 E99 F94 G97 H98 I99 J96 K92 L98 M98 
7 0 7 ..IK..G.IKCCG..AALDDJ..LH.JEEMHFF..M A94 C99 D93 E99 F92 G97 H98 I99 J96 K92 L98 M98 
7 0 7 ..IK..G.IKCCGAA..LDDJ..LH.JEEMH..FFM A92 C99 D93 E99 F94 G97 H98 I99 J96 K92 L98 M98 
7 0 7 G.IK..G.IKCC...AALDDJ..LH.JEEMHFF..M A94 C99 D93 E99 F94 G98 H98 I99 J96 K92 L98 M98 
7 0 7 ..IK..G.IKCCG..AALDDJ..LH.JEEMH.FF.M A94 C99 D93 E99 F95 G97 H98 I99 J96 K92 L98 M98 
7 0 7 G.I...G.IKCCAA.K.LDDJ..LH.JEEMH.FF.M A97 C99 D93 E99 F95 G98 H98 I99 J96 K93 L98 M98 
7 0 7 G.I...G.ICCLAAJK.LDDJK..H..EEMHFF..M A97 C98 D93 E99 F94 G98 H98 I99 J95 K94 L97 M98 
7 0 7 G.I...G.ICCLAAJK.LDDJK..HEE..MHFF..M A97 C98 D93 E97 F94 G98 H98 I99 J95 K94 L97 M98 
7 0 7 G.I...G.ICCLAAJK.LDDJK..HEE..MH..FFM A97 C98 D93 E97 F92 G98 H98 I99 J95 K94 L97 M98 
7 0 7 G.I...G.ICCLAAJK.LDDJK.MHEE..MH..FF. A97 C98 D93 E97 F92 G98 H98 I99 J95 K94 L97 M97 
7 0 7 G.I...G.ICCLAAJK.LDDJK.MHEE..MH.FF.. A97 C98 D93 E97 F91 G98 H98 I99 J95 K94 L97 M97 
7 0 7 G.I..LG.ICCLAAJK..DDJK.MHEE..MH.FF.. A97 C98 D93 E97 F91 G98 H98 I99 J95 K94 L96 M97 
7 0 7 G.I..LG.ICCLAAJK..DDJK.MHEE..MH...FF A97 C98 D93 E97 F89 G98 H98 I99 J95 K94 L96 M97 
7 0 7 G.I..LG.ICCLAAJK..DDJK.MHEE..MHFF... A97 C98 D93 E97 F90 G98 H98 I99 J95 K94 L96 M97 
7 0 7 G.I..LG.ICCLAAJK..DDJK..HEE..MH.FF.M A97 C98 D93 E97 F91 G98 H98 I99 J95 K94 L96 M96 
7 0 7 G.I...G.ICC.AAJK.LDDJK.LHEE..MH.FF.M A97 C98 D93 E97 F91 G98 H98 I99 J95 K94 L94 M96 
7 0 7 G.I..LG.ICCLAAJK..DDJK.MHEE..MH..FF. A97 C98 D93 E97 F92 G98 H98 I99 J95 K94 L96 M97 
7 0 7 G.I...G.ICC.AAJK.LDDJK.LHEE..MH..FFM A97 C98 D93 E97 F92 G98 H98 I99 J95 K94 L96 M98 
7 0 7 G.I..LG.ICCLAAJK..DDJK..HEE..MH..FFM A97 C98 D93 E97 F92 G98 H98 I99 J95 K94 L96 M98 
7 0 7 G.I...G.ICCLAAJK.LDDJK..HEE..MH.FF.M A97 C98 D93 E97 F93 G98 H98 I99 J95 K94 L97 M98 
7 0 7 G.I...G.ICCLAAJK.LDDJK.MHEE..MHFF... A97 C98 D93 E97 F94 G98 H98 I99 J95 K94 L97 M97 
7 0 7 G.I...G.ICC.AAJK.LDDJK.LHEE..MHFF..M A97 C98 D93 E97 F94 G98 H98 I99 J95 K94 L96 M98 
7 0 7 G.I..LG.ICCLAAJK..DDJK..HEE..MHFF..M A97 C98 D93 E97 F94 G98 H98 I99 J95 K94 L96 M98 
7 0 7 G.I..LG.ICCLAAJK..DDJK..H..EEMHFF..M A97 C98 D93 E99 F94 G98 H98 I99 J95 K94 L96 M98 
7 0 7 G.I...G.ICCLAAJK.LDDJK..H..EEMH.FF.M A97 C98 D93 E99 F93 G98 H98 I99 J95 K94 L97 M98 
7 0 7 G.I..LG.ICCLAAJK..DDJK.MH..EEMH.FF.. A97 C98 D93 E99 F93 G98 H98 I99 J95 K94 L96 M97 
7 0 7 G.....G.ICCLAAIK.LDDJK..H.JEEMH..FFM A97 C98 D93 E99 F92 G98 H98 I98 J96 K94 L95 M98 
7 0 7 G.I..LG.ICCL.AAK..DDJK..H.JEEMHFF..M A96 C98 D93 E99 F90 G98 H98 I99 J96 K94 L96 M98 
7 0 7 ..I..LG.ICCLGAAK..DDJK..H.JEEMH..FFM A96 C98 D93 E99 F92 G97 H98 I99 J96 K94 L96 M98 
7 0 7 G....LG.ICCLAAIK.MDDJK.MH.JEE.H...FF A97 C98 D93 E99 F91 G98 H98 I98 J94 K94 L96 M96 
7 0 7 G....LG.ICCLAAI..MDD.K.MH.JKEEH.J.FF A97 C98 D93 E98 F91 G98 H98 I98 J95 K93 L96 M96 
7 0 7 G.I..LG.ICCLAA...MDDJK.MH.JKEEH.FF.. A97 C98 D93 E98 F89 G98 H98 I99 J94 K93 L96 M96 
7 0 7 G....LG.ICCLAAIK.MDDJK.MH.J.EEH...FF A97 C98 D93 E98 F91 G98 H98 I98 J94 K94 L96 M96 
7 0 7 G....LG.ICCLAAI..M.DDK.MH.JKEEH.J.FF A97 C98 D92 E98 F91 G98 H98 I98 J95 K93 L96 M96 
7 0 7 G....LG.ICCLAAIK.MHDDK.MH.J.EE..J.FF A97 C98 D92 E98 F91 G98 H97 I98 J95 K94 L96 M96 
7 0 7 G....LG.ICCLAAI..M.DDK.MH.JKEEH.JFF. A97 C98 D92 E98 F90 G98 H98 I98 J95 K93 L96 M96 
7 0 7 G.I..LG.ICCLAA...MHDDK.MH.JKEE..JFF. A97 C98 D92 E98 F90 G98 H97 I99 J95 K93 L96 M96 
7 0 7 G....LG.ICCLAAIK.MHDDK.MH.J.EE..JFF. A97 C98 D92 E98 F90 G98 H97 I98 J95 K94 L96 M96 
7 0 7 G.I..LG.ICCL.AA..MHDDK.MH.JKEE..JFF. A96 C98 D92 E98 F90 G98 H97 I99 J95 K93 L96 M96 
7 0 7 ..I..LG.ICCLGAAK.MHDDK.MH.J.EE..JFF. A96 C98 D92 E98 F90 G97 H97 I99 J95 K94 L96 M96 
7 0 7 ..I..LG.ICCLGAAK.MHDDK.MH.JEE...JFF. A96 C98 D92 E97 F90 G97 H97 I99 J95 K94 L96 M96 
7 0 7 ..I..LG.ICCLGAAK.MHDDK.MH.JEE...J.FF A96 C98 D92 E97 F89 G97 H97 I99 J95 K94 L96 M96 
7 0 7 ..I..LG.ICCLGAAK..HDDK.MH.JEEM..J.FF A96 C98 D92 E97 F89 G97 H97 I99 J95 K94 L96 M95 
7 0 7 ..I..LG.ICCLGAAK..DDJK.MH.JEEMH...FF A96 C98 D91 E97 F89 G97 H98 I99 J94 K94 L96 M95 
7 0 7 G.I..LG.ICCL.AAK..DDJK.MH.JEEMH.FF.. A96 C98 D91 E97 F87 G98 H98 I99 J94 K94 L96 M95 
7 0 7 ..I..LG.ICCLGAAK..DDJK.MH.JEEMH..FF. A96 C98 D91 E97 F88 G97 H98 I99 J94 K94 L96 M95 
7 0 7 ..I...G.ICCLGAAK.LDD.K.MH.JEEMH.J.FF A96 C98 D91 E97 F87 G97 H98 I99 J95 K94 L95 M95 
7 0 7 G.I...G.ICCL.AAK.LDDJK.MH.JEEMH...FF A96 C98 D91 E97 F87 G98 H98 I99 J94 K94 L95 M95 
7 0 7 ..I...G.ICCLGAAK.LDDJK.MH.JEEMH..FF. A96 C98 D91 E97 F88 G97 H98 I99 J94 K94 L95 M95 
7 0 7 G.I...G.ICCL.AAK.LDDJK..H.JEEMHFF..M A96 C98 D91 E97 F86 G98 H98 I99 J94 K94 L95 M94 
7 0 7 G.I...G.ICCL.AAK.LDDJK..H.JEEMH.FF.M A96 C98 D91 E97 F87 G98 H98 I99 J94 K94 L95 M94 
7 0 7 ..I...G.ICCLGAAK.LDDJK..H.JEEMH..FFM A96 C98 D91 E97 F88 G97 H98 I99 J94 K94 L95 M94 
7 0 7 ..I...G.ICCLGAAK.LDD.K..H.JEEMH.JFFM A96 C98 D91 E97 F88 G97 H98 I99 J95 K94 L95 M94 
7 0 7 ..I...G.ICCLGAAK.L.DDK.MH.JEEMH.J.FF A96 C98 D90 E97 F87 G97 H98 I99 J95 K94 L95 M95 
7 0 7 G.I...G.ICCL.AAK.LHDDK.MH.JEEM..J.FF A96 C98 D90 E97 F87 G98 H97 I99 J95 K94 L95 M95 
7 0 7 ..I...G.ICCLGAAK.LHDDK.MH.JEEM..JFF. A96 C98 D90 E97 F88 G97 H97 I99 J95 K94 L95 M95 
7 0 7 G.I...G.ICCL.AAK.LHDDK..H.JEEM..JFFM A96 C98 D90 E97 F88 G98 H97 I99 J95 K94 L95 M94 
7 0 7 ..I...G.ICCLGAAK.L.DDK..H.JEEMH.JFFM A96 C98 D90 E97 F88 G97 H98 I99 J95 K94 L95 M94 
7 0 7 G.....G.ICCLAAIK.LHDDK.MH.JEEM..JFF. A95 C98 D90 E97 F88 G98 H97 I98 J95 K94 L95 M95 
7 0 7 G.I...G.ICCLAA.K.LHDDK..H.JEEM..JFFM A95 C98 D90 E97 F88 G98 H97 I99 J95 K94 L95 M94 
7 0 7 G.....G.ICCLAAIK.L.DDK..H.JEEMH.JFFM A95 C98 D90 E97 F88 G98 H98 I98 J95 K94 L95 M94 
7 0 7 G....LG.ICCLAAIK..HDDK.MH.JEEM..JFF. A95 C98 D90 E97 F88 G98 H97 I98 J95 K94 L94 M95 
7 0 7 G.....G.ICCLAAIK.LDDJK.MH.JEEMH..FF. A95 C98 D91 E97 F88 G98 H98 I98 J94 K94 L95 M95 
7 0 7 G.I...G.ICC.AA.K.LHDDK.LH.JEEM..JFFM A95 C98 D90 E97 F88 G98 H97 I99 J95 K94 L94 M94 
7 0 7 G.....G.ICC.AAIK.L.DDK.LH.JEEMH.JFFM A95 C98 D90 E97 F88 G98 H98 I98 J95 K94 L94 M94 
7 0 7 G.I...G.ICC.AAJK.LDDJK.LH..EEMH..FFM A95 C98 D91 E97 F88 G98 H98 I99 J93 K94 L94 M94 
7 0 7 G.....G.ICC.AAIK.LDD.K.LH.JEEMH.JFFM A95 C98 D91 E97 F88 G98 H98 I98 J95 K94 L94 M94 
7 0 7 G.I...G.ICCLAAJK.LDDJK..H..EEMH..FFM A95 C98 D91 E97 F88 G98 H98 I99 J93 K94 L95 M94 
7 0 7 G.....G.ICCLAAIK.LDD.K..H.JEEMH.JFFM A95 C98 D91 E97 F88 G98 H98 I98 J95 K94 L95 M94 
7 0 7 G.....G.ICCLAAIK.L.DDK.MH.JEEMH.J.FF A95 C98 D92 E97 F89 G98 H98 I98 J95 K94 L95 M95 
7 0 7 G.I...G.ICCLAA.K.LHDDK.MH.JEEM..J.FF A95 C98 D92 E97 F89 G98 H97 I99 J95 K94 L95 M95 
7 0 7 G....LG.ICCLAAIK..HDDK.MH.JEEM..J.FF A95 C98 D92 E97 F89 G98 H97 I98 J95 K94 L96 M95 
7 0 7 ..I..LG.ICCLGAAK...DDK..H.JEEMH.JFFM A96 C98 D92 E97 F90 G97 H98 I99 J95 K94 L96 M94 
7 0 7 G.I..LG.ICCL.AAK..HDDK..H.JEEM..JFFM A96 C98 D92 E97 F90 G98 H97 I99 J95 K94 L96 M94 
7 0 7 ..I..LG.ICCLGAAK..HDDK.MH.JEEM..JFF. A96 C98 D92 E97 F90 G97 H97 I99 J95 K94 L96 M95 
7 0 7 G.I..LG.ICCL.AA..MDDJK.MH.JKEEH..FF. A96 C98 D91 E98 F90 G98 H98 I99 J94 K93 L96 M96 
7 0 7 ..I..LG.ICCLGAAK.MDDJK.MH.J.EEH..FF. A96 C98 D91 E98 F90 G97 H98 I99 J94 K94 L96 M96 
7 0 7 ..I..LG.ICCLGAAK.MHDDK.MH.J.EE..J.FF A96 C98 D92 E98 F91 G97 H97 I99 J95 K94 L96 M96 
7 0 7 G.I..LG.ICCL.AAK.MDDJK.MH.J.EEHFF... A96 C98 D93 E98 F88 G98 H98 I99 J94 K94 L96 M96 
7 0 7 G.I..LG.ICCL.AAK.MDDJK.MH.J.EEH.FF.. A96 C98 D93 E98 F89 G98 H98 I99 J94 K94 L96 M96 
7 0 7 ..I..LG.ICCLGAAK.MDDJK.MH.J.EEH...FF A96 C98 D93 E98 F91 G97 H98 I99 J94 K94 L96 M96 
7 0 7 G.....G.ICCLAAIK.LDD.K.MH.JEEMH.J.FF A97 C98 D93 E99 F91 G98 H98 I98 J95 K94 L95 M95 
7 0 7 G.I...G.ICCLAAJK.LDDJK.MH..EEMH.FF.. A97 C98 D93 E99 F87 G98 H98 I99 J93 K94 L95 M95 
7 0 7 G.I...G.ICCL.AAK.LDDJK.MH.JEEMH.FF.. A96 C98 D93 E99 F87 G98 H98 I99 J94 K94 L95 M95 
7 0 7 G.I...G.ICCLAAJK.LDDJK.MH..EEMHFF... A97 C98 D93 E99 F88 G98 H98 I99 J93 K94 L95 M95 
