8 0 8 ......CCI..LH.IAALHDDK.LEEJK....JGGG 
7 0 7 ..I...CCI..LH..AALHDDK.LEEJK....JGGG I99 
7 0 7 ..I...CCI...H..AALHDDK.LEEJK.L..JGGG I99 L99 
7 0 7 ..I...CCI...HAA..LHDDK.LEEJK.L..JGGG A98 I99 L99 
6 0 6 ..IK..CCIK..HAA..LHDD..LEEJ..L..JGGG A98 I99 K97 L99 
5 0 5 ..IK..CCIK..HAA..LH..DDLEEJ..L..JGGG A98 D98 I99 K97 L99 
5 0 5 ..IK..CCIK..HAA..LH.JDDLEEJ..L...GGG A98 D98 I99 J99 K97 L99 
4 0 4 ..IK.LCCIK.LHAA..LH.JDD.EEJ......GGG A98 D98 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ......GGG A96 D98 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ...GGG... A96 D98 G97 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ....GGG.. A96 D98 G98 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ.....GGG. A96 D98 G99 I99 J99 K97 L97 
5 0 5 ..IK.LCCIK.LH..AALH.J.DDEEJ.....GGG. A96 D97 G99 I99 J99 K97 L97 
5 0 5 ..IK.LCCIK.LH.JAALH.JDD.EE......GGG. A96 D98 G99 I99 J98 K97 L97 
4 0 4 ..IK.LCCIK.LH.JAALH.JDD.....EE..GGG. A96 D98 E96 G99 I99 J98 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...J.EE..GGG. A96 D98 E96 G99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...J.EE...GGG A96 D98 E96 G98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...JEE....GGG A96 D98 E95 G98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...JEE.GGG... A96 D98 E95 G95 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.L.AA..LH.JDD.H.J.EEGGG... A92 D98 E94 G89 H99 I99 J97 K97 L97 
3 0 3 ..IK..CCIK.L...AALH.JDDLH.J.EE.GGG.. A90 D98 E94 G90 H99 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.L...AALH.J.DDH.J.EE.GGG.. A90 D97 E94 G90 H99 I99 J97 K97 L97 
3 0 3 ..IK..CCIK.L...AAL..JDDLH.J.EEHGGG.. A90 D98 E94 G90 H98 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.L...AAL..J.DDH.J.EEHGGG.. A90 D97 E94 G90 H98 I99 J97 K97 L97 
3 0 3 ..IK..CCIK.L...AAL..JDDLH.J.EEH.GGG. A90 D98 E94 G89 H98 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.L...AAL..J.DDH.J.EEH.GGG. A90 D97 E94 G89 H98 I99 J97 K97 L97 
3 0 3 ..I..LCCI..LAA.K.L..JKDDH.J.EEH.GGG. A93 D97 E94 G89 H98 I99 J97 K95 L97 
3 0 3 ..I...CCIK.L.AAK.L..JDDLH.J.EEH..GGG A92 D98 E94 G88 H98 I99 J97 K96 L96 
3 0 3 ......CCIK.LAAIK.L..JDDLH.J.EEH..GGG A93 D98 E94 G88 H98 I98 J97 K96 L96 
3 0 3 ..I..LCCIK.L.AAK.L..J.DDH.J.EEH..GGG A92 D97 E94 G88 H98 I99 J97 K96 L97 
3 0 3 .....LCCIK.LAAIK.L..J.DDH.J.EEH..GGG A93 D97 E94 G88 H98 I98 J97 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.L....DDH.J.EEH.JGGG A93 D97 E94 G88 H98 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LDD....H.J.EEH.JGGG A93 D95 E94 G88 H98 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LDDJ...H.J.EEH..GGG A93 D95 E94 G88 H98 I99 J95 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LDDJ...H.J.EEHGGG.. A93 D95 E94 G86 H98 I99 J95 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LDDJ...H.JEE.HGGG.. A93 D95 E93 G86 H98 I99 J95 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LDDJ...H.JEE.H.GGG. A93 D95 E93 G85 H98 I99 J95 K96 L97 
3 0 3 ..I...CCIK.LAA.K.LDDJ..LH.JEE.H.GGG. A93 D95 E93 G85 H98 I99 J95 K96 L96 
3 0 3 ..I...CCIK.LAA.K.LDDJ..LH.JEE.H..GGG A93 D95 E93 G84 H98 I99 J95 K96 L96 
3 0 3 ..I...CCI..LAA.K.LDDJK.LH.JEE.H..GGG A93 D95 E93 G84 H98 I99 J95 K95 L96 
3 0 3 ..I...CCI..LAA.K.LDDJK.LH.JEE.HGGG.. A93 D95 E93 G82 H98 I99 J95 K95 L96 
3 0 3 ..I...CCI..LAA.K.LDDJK.LH.J.EEHGGG.. A93 D95 E92 G82 H98 I99 J95 K95 L96 
3 0 3 ..I...CCI..LAA.K.LDDJK.LH.J.EEH.GGG. A93 D95 E92 G81 H98 I99 J95 K95 L96 
3 0 3 ..IK..CCIK.LAA...LDDJ..LH.J.EEH.GGG. A93 D95 E92 G81 H98 I99 J95 K93 L96 
3 0 3 ..IK..CCIK.LAA...LDDJ..LH.J.EEH..GGG A93 D95 E92 G80 H98 I99 J95 K93 L96 
3 0 3 ..IK.LCCIK.LAA...LDDJ...H.J.EEH.GGG. A93 D95 E92 G81 H98 I99 J95 K93 L95 
3 0 3 ..I..LCCI..LAA.K.LDDJK..H.J.EEH.GGG. A93 D95 E92 G81 H98 I99 J95 K95 L95 
3 0 3 ..IK..CCIK.LAA...LDDJ..LH.J.EEHGGG.. A93 D95 E92 G82 H98 I99 J95 K93 L96 
3 0 3 ..IK..CCIK.LAA...LDDJ..LH.JEE.HGGG.. A93 D95 E93 G82 H98 I99 J95 K93 L96 
3 0 3 ..I...CCI..LAA.K.LDDJK.LH.J.EEH..GGG A93 D95 E92 G84 H98 I99 J95 K95 L96 
3 0 3 ..I...CCI..LAA.K.LDD.K.LH.J.EEH.JGGG A93 D95 E92 G84 H98 I99 J94 K95 L96 
3 0 3 ..I...CCI..LAA.K.L.DDK.LH.J.EEH.JGGG A93 D94 E92 G84 H98 I99 J94 K95 L96 
3 0 3 ..I...CCI..LAA.K.L.DDK.LH.JEE.H.JGGG A93 D94 E91 G84 H98 I99 J94 K95 L96 
3 0 3 ..I..LCCI..LAA.K.L.DDK..H.JEE.H.JGGG A93 D94 E91 G84 H98 I99 J94 K95 L95 
3 0 3 ..I..LCCI..LAA.K.LDD.K..H.JEE.H.JGGG A93 D93 E91 G84 H98 I99 J94 K95 L95 
3 0 3 ..I..LCCI..LAA.K.L.DDK..H.J.EEH.JGGG A93 D94 E92 G84 H98 I99 J94 K95 L95 
3 0 3 ..I...CCI..LAA.K.LDD.K.LH.JEE.H.JGGG A93 D95 E93 G84 H98 I99 J94 K95 L96 
3 0 3 ..I..LCCI..LAA.K.LDDJK..H.JEE.H..GGG A93 D95 E93 G84 H98 I99 J95 K95 L95 
3 0 3 ..IK.LCCIK.LAA...LDDJ...H.JEE.H..GGG A93 D95 E93 G84 H98 I99 J95 K93 L95 
3 0 3 ..IK..CCIK.LAA...LDDJ..LH.JEE.H..GGG A93 D95 E93 G84 H98 I99 J95 K95 L96 
3 0 3 ..I...CCIK.LAA.K.LDDJ..LH.J.EEH.GGG. A93 D95 E92 G85 H98 I99 J95 K96 L96 
3 0 3 ..I...CCI..LAA.K.LDDJK.LH.JEE.H.GGG. A93 D95 E93 G85 H98 I99 J95 K95 L96 
3 0 3 ..IK..CCIK.LAA...LDDJ..LH.JEE.H.GGG. A93 D95 E93 G85 H98 I99 J95 K95 L96 
3 0 3 ..I..LCCI..LAA.K.LDDJK..H.JEE.H.GGG. A93 D95 E93 G85 H98 I99 J95 K95 L97 
3 0 3 ..IK.LCCIK.LAA...LDDJ...H.JEE.H.GGG. A93 D95 E93 G85 H98 I99 J95 K95 L97 
3 0 3 ..I...CCIK.LAA.K.LDDJ..LH.JEE.HGGG.. A93 D95 E93 G86 H98 I99 J95 K96 L96 
3 0 3 ..I..LCCI..LAA.K.LDDJK..H.JEE.HGGG.. A93 D95 E93 G86 H98 I99 J95 K95 L97 
3 0 3 ..IK.LCCIK.LAA...LDDJ...H.JEE.HGGG.. A93 D95 E93 G86 H98 I99 J95 K95 L97 
3 0 3 ..I...CCIK.LAA.K.LDDJ..LH.J.EEHGGG.. A93 D95 E94 G86 H98 I99 J95 K96 L96 
3 0 3 ..I..LCCI..LAA.K.LDDJK..H.J.EEHGGG.. A93 D95 E94 G86 H98 I99 J95 K95 L97 
3 0 3 ..IK.LCCIK.LAA...LDDJ...H.J.EEHGGG.. A93 D95 E94 G86 H98 I99 J95 K95 L97 
3 0 3 ..I..LCCIK.LAA.K.LDDJ...H.J.EEH.GGG. A93 D95 E94 G87 H98 I99 J95 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LDDJ...H.JEE.H..GGG A93 D95 E93 G88 H98 I99 J95 K96 L97 
3 0 3 ..I...CCIK.LAA.K.LDDJ..LH.J.EEH..GGG A93 D95 E94 G88 H98 I99 J95 K96 L96 
3 0 3 ..I..LCCI..LAA.K.LDDJK..H.J.EEH..GGG A93 D95 E94 G88 H98 I99 J95 K95 L97 
3 0 3 ..IK.LCCIK.LAA...LDDJ...H.J.EEH..GGG A93 D95 E94 G88 H98 I99 J95 K95 L97 
3 0 3 ..I..LCCI..LAA.K.LDD.K..H.J.EEH.JGGG A93 D95 E94 G88 H98 I99 J96 K95 L97 
3 0 3 ..I..LCCIK.LAA.K.L.DD...H.J.EEH.JGGG A93 D96 E94 G88 H98 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.L..DD..H.J.EEH.JGGG A93 D97 E94 G88 H98 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.L.AAK.L...DD.H.J.EEH.JGGG A92 D98 E94 G88 H98 I99 J96 K96 L97 
3 0 3 .....LCC.K.LAAIK.L..IDD.H.J.EEH.JGGG A93 D98 E94 G88 H98 I97 J96 K96 L97 
3 0 3 .....LCCIK.LAAIK.L...DD.H.J.EEH.JGGG A93 D98 E94 G88 H98 I98 J96 K96 L97 
3 0 3 ..I...CCIK.L.AAK.L..JDDLH.JEE.H..GGG A92 D98 E93 G88 H98 I99 J97 K96 L96 
3 0 3 ......CCIK.LAAIK.L..JDDLH.JEE.H..GGG A93 D98 E93 G88 H98 I98 J97 K96 L96 
3 0 3 ..I..LCCIK.L.AAK.L..J.DDH.JEE.H..GGG A92 D97 E93 G88 H98 I99 J97 K96 L97 
3 0 3 .....LCCIK.LAAIK.L..J.DDH.JEE.H..GGG A93 D97 E93 G88 H98 I98 J97 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.L....DDH.JEE.H.JGGG A93 D97 E93 G88 H98 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LDD....H.JEE.H.JGGG A93 D95 E93 G88 H98 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.L.DD...H.JEE.H.JGGG A93 D96 E93 G88 H98 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.L..DD..H.JEE.H.JGGG A93 D97 E93 G88 H98 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.L.AAK.L...DD.H.JEE.H.JGGG A92 D98 E93 G88 H98 I99 J96 K96 L97 
3 0 3 .....LCC.K.LAAIK.L..IDD.H.JEE.H.JGGG A93 D98 E93 G88 H98 I97 J96 K96 L97 
3 0 3 .....LCCIK.LAAIK.L...DD.H.JEE.H.JGGG A93 D98 E93 G88 H98 I98 J96 K96 L97 
3 0 3 ..IK..CCIK.L...AAL..JDDLH.JEE.HGGG.. A90 D98 E93 G90 H98 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.L...AAL..J.DDH.JEE.HGGG.. A90 D97 E93 G90 H98 I99 J97 K97 L97 
3 0 3 ..I..LCCI..LAA.K.L..JKDDH.JEE.HGGG.. A93 D97 E93 G90 H98 I99 J97 K95 L97 
3 0 3 ..I..LCCI..LAA.K.L..JKDDH.J.EEHGGG.. A93 D97 E94 G90 H98 I99 J97 K95 L97 
3 0 3 ..I..LCCI..LAA.K.LH.JKDDH.J.EE.GGG.. A93 D97 E94 G90 H99 I99 J97 K95 L97 
3 0 3 ..IK..CCIK.L...AAL..JDDLH.J.EEH..GGG A90 D98 E94 G92 H98 I99 J97 K97 L96 
3 0 3 ..IK..CCIK.L.AA..L..JDDLH.J.EEH..GGG A92 D98 E94 G92 H98 I99 J97 K97 L96 
3 0 3 ...K..CCIK.LAAI..L..JDDLH.J.EEH..GGG A93 D98 E94 G92 H98 I98 J97 K97 L96 
3 0 3 ..IK.LCCIK.L...AAL..J.DDH.J.EEH..GGG A90 D97 E94 G92 H98 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.L.AA..L..J.DDH.J.EEH..GGG A92 D97 E94 G92 H98 I99 J97 K97 L97 
3 0 3 ..I..LCCI..LAA.K.L..JKDDH.J.EEH..GGG A93 D97 E94 G92 H98 I99 J97 K95 L97 
3 0 3 ...K.LCCIK.LAAI..L..J.DDH.J.EEH..GGG A93 D97 E94 G92 H98 I98 J97 K97 L97 
3 0 3 ..IK.LCCIK.LAA...L....DDH.J.EEH.JGGG A93 D97 E94 G92 H98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LAA...LDD....H.J.EEH.JGGG A93 D95 E94 G92 H98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LAA...L.DD...H.J.EEH.JGGG A93 D96 E94 G92 H98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LAA...L..DD..H.J.EEH.JGGG A93 D97 E94 G92 H98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.L...AAL...DD.H.J.EEH.JGGG A90 D98 E94 G92 H98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.L.AA..L...DD.H.J.EEH.JGGG A92 D98 E94 G92 H98 I99 J96 K97 L97 
3 0 3 ...K.LCC.K.LAAI..L..IDD.H.J.EEH.JGGG A93 D98 E94 G92 H98 I97 J96 K97 L97 
3 0 3 ...K.LCCIK.LAAI..L...DD.H.J.EEH.JGGG A93 D98 E94 G92 H98 I98 J96 K97 L97 
3 0 3 ..I..LCCIK.L.AAK.LH.JDD.H.J.EEGGG... A92 D98 E94 G89 H99 I99 J97 K96 L97 
3 0 3 ..I..LCCIK.LHAAK.LH.JDD...J.EE...GGG A92 D98 E94 G92 H98 I99 J97 K96 L97 
3 0 3 ..I...CCIK.LAA.K.LH.JDDLH.J.EEGGG... A93 D98 E94 G89 H99 I99 J97 K96 L96 
3 0 3 ..I...CCIK.L.AAK.LH.JDDLH.J.EE...GGG A92 D98 E94 G92 H99 I99 J97 K96 L96 
3 0 3 ......CCIK.LAAIK.LH.JDDLH.J.EE...GGG A93 D98 E94 G92 H99 I98 J97 K96 L96 
3 0 3 ..I..LCCIK.LAA.K.LH.J.DDH.J.EEGGG... A93 D97 E94 G89 H99 I99 J97 K96 L97 
3 0 3 ..I..LCCI..LAA.K.LH.JKDDH.J.EE...GGG A93 D97 E94 G92 H99 I99 J97 K95 L97 
3 0 3 ..I..LCCIK.L.AAK.LH.J.DDH.J.EE...GGG A92 D97 E94 G92 H99 I99 J97 K96 L97 
3 0 3 .....LCCIK.LAAIK.LH.J.DDH.J.EE...GGG A93 D97 E94 G92 H99 I98 J97 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LH...DDH.J.EE..JGGG A93 D97 E94 G92 H99 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LHDD...H.J.EE..JGGG A93 D96 E94 G92 H99 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LH.DD..H.J.EE..JGGG A93 D97 E94 G92 H99 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.L.AAK.LH..DD.H.J.EE..JGGG A92 D98 E94 G92 H99 I99 J96 K96 L97 
3 0 3 .....LCC.K.LAAIK.LH.IDD.H.J.EE..JGGG A93 D98 E94 G92 H99 I97 J96 K96 L97 
3 0 3 .....LCCIK.LAAIK.LH..DD.H.J.EE..JGGG A93 D98 E94 G92 H99 I98 J96 K96 L97 
3 0 3 ..IK..CCIK.L...AAL..JDDLH.JEE.H..GGG A90 D98 E95 G92 H98 I99 J97 K97 L96 
3 0 3 ..IK..CCIK.L.AA..L..JDDLH.JEE.H..GGG A92 D98 E95 G92 H98 I99 J97 K97 L96 
3 0 3 ...K..CCIK.LAAI..L..JDDLH.JEE.H..GGG A93 D98 E95 G92 H98 I98 J97 K97 L96 
3 0 3 ..IK.LCCIK.L...AAL..J.DDH.JEE.H..GGG A90 D97 E95 G92 H98 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.L.AA..L..J.DDH.JEE.H..GGG A92 D97 E95 G92 H98 I99 J97 K97 L97 
3 0 3 ..I..LCCI..LAA.K.L..JKDDH.JEE.H..GGG A93 D97 E95 G92 H98 I99 J97 K95 L97 
3 0 3 ...K.LCCIK.LAAI..L..J.DDH.JEE.H..GGG A93 D97 E95 G92 H98 I98 J97 K97 L97 
3 0 3 ..IK.LCCIK.LAA...L....DDH.JEE.H.JGGG A93 D97 E95 G92 H98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LAA...LDD....H.JEE.H.JGGG A93 D95 E95 G92 H98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LAA...L.DD...H.JEE.H.JGGG A93 D96 E95 G92 H98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.LAA...L..DD..H.JEE.H.JGGG A93 D97 E95 G92 H98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.L...AAL...DD.H.JEE.H.JGGG A90 D98 E95 G92 H98 I99 J96 K97 L97 
3 0 3 ..IK.LCCIK.L.AA..L...DD.H.JEE.H.JGGG A92 D98 E95 G92 H98 I99 J96 K97 L97 
3 0 3 ...K.LCC.K.LAAI..L..IDD.H.JEE.H.JGGG A93 D98 E95 G92 H98 I97 J96 K97 L97 
3 0 3 ...K.LCCIK.LAAI..L...DD.H.JEE.H.JGGG A93 D98 E95 G92 H98 I98 J96 K97 L97 
3 0 3 ..I..LCCIK.L.AAK.LH.JDD.H.JEE.GGG... A92 D98 E95 G89 H99 I99 J97 K96 L97 
3 0 3 ..I..LCCIK.LHAAK.LH.JDD...JEE....GGG A92 D98 E95 G92 H98 I99 J97 K96 L97 
3 0 3 ..I...CCIK.L.AAK.LH.JDDLH.JEE....GGG A92 D98 E95 G92 H99 I99 J97 K96 L96 
3 0 3 ......CCIK.LAAIK.LH.JDDLH.JEE....GGG A93 D98 E95 G92 H99 I98 J97 K96 L96 
3 0 3 ..I..LCCI..LAA.K.LH.JKDDH.JEE....GGG A93 D97 E95 G92 H99 I99 J97 K95 L97 
3 0 3 ..I..LCCIK.L.AAK.LH.J.DDH.JEE....GGG A92 D97 E95 G92 H99 I99 J97 K96 L97 
3 0 3 .....LCCIK.LAAIK.LH.J.DDH.JEE....GGG A93 D97 E95 G92 H99 I98 J97 K96 L97 
3 0 3 ..IK..CCIK..AA...LH..DDLH.JEEL..JGGG A93 D98 E95 G92 H99 I99 J96 K95 L95 
3 0 3 ..IK..CCIK.LAA...LHDD..LH.JEE...JGGG A93 D96 E95 G92 H99 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.LAA...LH.DD.LH.JEE...JGGG A93 D97 E95 G92 H99 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.L...AALH..DDLH.JEE...JGGG A90 D98 E95 G92 H99 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.L.AA..LH..DDLH.JEE...JGGG A92 D98 E95 G92 H99 I99 J96 K95 L96 
3 0 3 ...K..CCIK.LAAI..LH..DDLH.JEE...JGGG A93 D98 E95 G92 H99 I98 J96 K95 L96 
3 0 3 ..I...CCIK..AA.K.L...DDLH.JEELH.JGGG A93 D98 E95 G92 H98 I99 J96 K96 L95 
3 0 3 ..I...CCIK.LAA.K.LDD...LH.JEE.H.JGGG A93 D95 E95 G92 H98 I99 J96 K96 L96 
3 0 3 ..I...CCIK.LAA.K.L.DD..LH.JEE.H.JGGG A93 D96 E95 G92 H98 I99 J96 K96 L96 
3 0 3 ..I...CCIK.LAA.K.L..DD.LH.JEE.H.JGGG A93 D97 E95 G92 H98 I99 J96 K96 L96 
3 0 3 ..I...CCIK.L.AAK.L...DDLH.JEE.H.JGGG A92 D98 E95 G92 H98 I99 J96 K96 L96 
3 0 3 ......CCIK.LAAIK.L...DDLH.JEE.H.JGGG A93 D98 E95 G92 H98 I98 J96 K96 L96 
3 0 3 ..IK..CCIK.LAA...LHDD..LH.J.EE..JGGG A93 D96 E94 G92 H99 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.LAA...LH.DD.LH.J.EE..JGGG A93 D97 E94 G92 H99 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.L...AALH..DDLH.J.EE..JGGG A90 D98 E94 G92 H99 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.L.AA..LH..DDLH.J.EE..JGGG A92 D98 E94 G92 H99 I99 J96 K95 L96 
3 0 3 ...K..CCIK.LAAI..LH..DDLH.J.EE..JGGG A93 D98 E94 G92 H99 I98 J96 K95 L96 
3 0 3 ..IK..CCIK..AA...L...DDLH.JEELH.JGGG A93 D98 E93 G92 H98 I99 J96 K95 L95 
3 0 3 ..IK..CCIK.LAA...LDD...LH.JEE.H.JGGG A93 D95 E93 G92 H98 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.LAA...L.DD..LH.JEE.H.JGGG A93 D96 E93 G92 H98 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.LAA...L..DD.LH.JEE.H.JGGG A93 D97 E93 G92 H98 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.L...AAL...DDLH.JEE.H.JGGG A90 D98 E93 G92 H98 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.L.AA..L...DDLH.JEE.H.JGGG A92 D98 E93 G92 H98 I99 J96 K95 L96 
3 0 3 ...K..CCIK.LAAI..L...DDLH.JEE.H.JGGG A93 D98 E93 G92 H98 I98 J96 K95 L96 
3 0 3 ..IK..CCIK.LAA...LDD...LH.J.EEH.JGGG A93 D95 E94 G92 H98 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.LAA...L.DD..LH.J.EEH.JGGG A93 D96 E94 G92 H98 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.LAA...L..DD.LH.J.EEH.JGGG A93 D97 E94 G92 H98 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.L...AAL...DDLH.J.EEH.JGGG A90 D98 E94 G92 H98 I99 J96 K95 L96 
3 0 3 ..IK..CCIK.L.AA..L...DDLH.J.EEH.JGGG A92 D98 E94 G92 H98 I99 J96 K95 L96 
3 0 3 ...K..CCIK.LAAI..L...DDLH.J.EEH.JGGG A93 D98 E94 G92 H98 I98 J96 K95 L96 
3 0 3 ..I...CCIK.LAA.K.LDD...LH.J.EEH.JGGG A93 D95 E94 G92 H98 I99 J96 K96 L96 
3 0 3 ..I...CCIK.LAA.K.L.DD..LH.J.EEH.JGGG A93 D96 E94 G92 H98 I99 J96 K96 L96 
3 0 3 ..I...CCIK.LAA.K.L..DD.LH.J.EEH.JGGG A93 D97 E94 G92 H98 I99 J96 K96 L96 
3 0 3 ..I...CCIK.L.AAK.L...DDLH.J.EEH.JGGG A92 D98 E94 G92 H98 I99 J96 K96 L96 
3 0 3 ......CCIK.LAAIK.L...DDLH.J.EEH.JGGG A93 D98 E94 G92 H98 I98 J96 K96 L96 
3 0 3 ..I...CCIK.LAA.K.LHDD..LH.J.EE..JGGG A93 D96 E94 G92 H99 I99 J96 K96 L96 
3 0 3 ..I...CCIK.LAA.K.LH.DD.LH.J.EE..JGGG A93 D97 E94 G92 H99 I99 J96 K96 L96 
3 0 3 ..I...CCIK.L.AAK.LH..DDLH.J.EE..JGGG A92 D98 E94 G92 H99 I99 J96 K96 L96 
3 0 3 ......CCIK.LAAIK.LH..DDLH.J.EE..JGGG A93 D98 E94 G92 H99 I98 J96 K96 L96 
3 0 3 ..I...CCIK.LAA.K.LHDD..LH.JEE...JGGG A93 D96 E95 G92 H99 I99 J96 K96 L96 
3 0 3 ..I...CCIK.LAA.K.LH.DD.LH.JEE...JGGG A93 D97 E95 G92 H99 I99 J96 K96 L96 
3 0 3 ..I...CCIK.L.AAK.LH..DDLH.JEE...JGGG A92 D98 E95 G92 H99 I99 J96 K96 L96 
3 0 3 ......CCIK.LAAIK.LH..DDLH.JEE...JGGG A93 D98 E95 G92 H99 I98 J96 K96 L96 
3 0 3 ..I..LCCIK.LAA.K.LH...DDH.JEE...JGGG A93 D97 E95 G92 H99 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LHDD...H.JEE...JGGG A93 D96 E95 G92 H99 I99 J96 K96 L97 
3 0 3 ..I..LCCIK.LAA.K.LH.DD..H.JEE...JGGG A93 D97 E95 G92 H99 I99 J96 K96 L97 
3 0 3 ..I...CCIK..AA.K.LH..DDLH.JEEL..JGGG A93 D98 E95 G92 H99 I99 J96 K96 L95 
3 0 3 ..I..LCCIK.L.AAK.LH..DD.H.JEE...JGGG A92 D98 E95 G92 H99 I99 J96 K96 L97 
3 0 3 .....LCC.K.LAAIK.LH.IDD.H.JEE...JGGG A93 D98 E95 G92 H99 I97 J96 K96 L97 
3 0 3 .....LCCIK.LAAIK.LH..DD.H.JEE...JGGG A93 D98 E95 G92 H99 I98 J96 K96 L97 
3 0 3 ..IK..CCIK.LAA...LH.JDDLH.JEE.GGG... A93 D98 E95 G91 H99 I99 J97 K97 L96 
3 0 3 ..IK..CCIK.L...AALH.JDDLH.JEE..GGG.. A90 D98 E95 G92 H99 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.LAA...LH.J.DDH.JEE.GGG... A93 D97 E95 G91 H99 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.L...AALH.J.DDH.JEE..GGG.. A90 D97 E95 G92 H99 I99 J97 K97 L97 
3 0 3 ..I..LCCI..LAA.K.LH.JKDDH.JEE..GGG.. A93 D97 E95 G92 H99 I99 J97 K95 L97 
3 0 3 ..IK..CCIK.LAA...LH.JDDLH.J.EEGGG... A93 D98 E94 G91 H99 I99 J97 K97 L96 
3 0 3 ..IK..CCIK.L...AALH.JDDLH.J.EE..GGG. A90 D98 E94 G93 H99 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.LAA...LH.J.DDH.J.EEGGG... A93 D97 E94 G91 H99 I99 J97 K97 L97 
3 0 3 ..IK.LCCIK.L...AALH.J.DDH.J.EE..GGG. A90 D97 E94 G93 H99 I99 J97 K97 L97 
3 0 3 ..I..LCCI..LAA.K.LH.JKDDH.J.EE..GGG. A93 D97 E94 G93 H99 I99 J97 K95 L97 
3 0 3 ..IK..CCIK.L...AAL..JDDLH.JEE.H.GGG. A90 D98 E95 G93 H98 I99 J97 K97 L96 
3 0 3 ..IK.LCCIK.L...AAL..J.DDH.JEE.H.GGG. A90 D97 E95 G93 H98 I99 J97 K97 L97 
3 0 3 ..I..LCCI..LAA.K.L..JKDDH.JEE.H.GGG. A93 D97 E95 G93 H98 I99 J97 K95 L97 
3 0 3 ..I...CCIK.LAA.K.LH.JDDLH.JEE.GGG... A93 D98 E95 G91 H99 I99 J97 K96 L96 
3 0 3 ..I..LCCIK.LAA.K.LH.J.DDH.JEE.GGG... A93 D97 E95 G91 H99 I99 J97 K96 L97 
